Wed Apr 28 19:41:46 2021,228,0,0.65,1.31,-7.13,8.44,0.79,22.73,1
Wed Apr 28 19:41:47 2021,229,0,0.72,-0.03,-6.67,11.77,-0.11,30.34,1
Wed Apr 28 19:41:48 2021,230,0,0.75,-1.94,-7.09,12.36,-8.76,26.59,1
Wed Apr 28 19:41:49 2021,231,0,0.45,-3.24,-6.8,-8.36,-4.05,4.16,1
Wed Apr 28 19:41:50 2021,232,0,1.42,0.13,-7.74,-24.3,-1.79,-39.37,1
Wed Apr 28 19:41:51 2021,233,0,1.04,2.1,-7.48,6.8,-5.31,7.85,1
Wed Apr 28 19:41:52 2021,234,0,0.99,-1,-6.72,5.22,-0.5,30.03,1
Wed Apr 28 19:41:53 2021,235,0,0.03,-2.99,-7.01,-17.23,-3.5,-10.66,1
Wed Apr 28 19:41:54 2021,236,0,1.56,1.03,-7.27,-12.06,-6.11,-46.1,1
Wed Apr 28 19:41:55 2021,237,0,1.3,1.83,-7.31,-1.58,1.65,14.41,1
Wed Apr 28 19:41:56 2021,238,0,0.95,-1.55,-6.67,3.23,3.05,42.98,1
Wed Apr 28 19:41:57 2021,239,0,0.56,-3.22,-6.44,-0.98,-1.19,-3.7,1
Wed Apr 28 19:41:58 2021,240,0,1.2,1.4,-7.36,-26.09,-9.2,-27.44,1
Wed Apr 28 19:41:59 2021,241,0,1.68,0.13,-6.96,1.74,5.79,37.28,1
Wed Apr 28 19:42:00 2021,242,0,0.95,-2,-6.4,7.71,-1.59,32.02,1
Wed Apr 28 19:42:01 2021,243,0,1.27,-2.94,-7.04,8.76,-10.54,-23.11,1
Wed Apr 28 19:42:02 2021,244,0,1.15,0.3,-6.53,-12.3,-5.05,-39.16,1
Wed Apr 28 19:42:03 2021,245,0,1.34,2.23,-7.54,-15.05,-11.36,-22.3,1
Wed Apr 28 19:42:05 2021,246,0,0.8,0.09,-7.27,6.19,4.35,25.14,1
Wed Apr 28 19:42:06 2021,247,0,1.13,-0.13,-6.96,-5.81,1.34,-31.25,1
Wed Apr 28 19:42:07 2021,248,0,1.95,1.34,-6.78,0.66,-4.89,7.69,1
Wed Apr 28 19:42:08 2021,249,0,1.63,-3.44,-6.94,3.76,-5.83,4.4,1
Wed Apr 28 19:42:09 2021,250,0,1.18,-0.85,-6.94,-3.68,-5.39,-25.75,1
Wed Apr 28 19:42:10 2021,251,0,1.26,2.09,-6.86,-3.86,-4.16,-4.09,1
Wed Apr 28 19:42:11 2021,252,0,1.02,-2.39,-6.99,7.73,-6.66,23.92,1
Wed Apr 28 19:42:12 2021,253,0,0.58,-0.95,-7.08,-2.75,3.56,0.92,1
Wed Apr 28 19:42:13 2021,254,0,1.01,-0.28,-7.09,-5.15,-2.19,1,1
Wed Apr 28 19:42:14 2021,255,0,1.02,-0.26,-7.07,-5.17,-2.05,0.82,2
Wed Apr 28 19:42:15 2021,256,0,1.03,-0.29,-7.06,-5.1,-2.12,0.92,2
Wed Apr 28 19:42:16 2021,257,0,1.02,-0.32,-7.03,-5.01,-2.34,1.07,2
Wed Apr 28 19:42:17 2021,258,0,1.07,-0.31,-7.07,-5.05,-2.06,0.99,2
Wed Apr 28 19:42:18 2021,259,0,1.12,-0.32,-7.05,-4.98,-2.19,1.04,2
Wed Apr 28 19:42:19 2021,260,0,1.07,-0.28,-6.96,-5.04,-2.14,0.98,2
Wed Apr 28 19:42:20 2021,261,0,1.02,-0.3,-7.05,-5.05,-2.23,0.95,2
Wed Apr 28 19:42:21 2021,262,0,1.11,-0.27,-7.12,-5.02,-2.23,1.08,2
Wed Apr 28 19:42:22 2021,263,0,1.03,-0.26,-7.16,-5.09,-2.19,0.89,2
